ID,Energy
725,-145.180283913742
226,-145.177817362355
665,-145.174327153961
734,-145.173938576755
266,-145.173445776714
99,-145.173159085216
268,-145.171457086539
231,-145.170783495593
870,-145.170775313592
463,-145.170769240721
698,-145.170629100274
17,-145.169122926246
192,-145.167997670989
701,-145.167820581170
487,-145.167025501229
659,-145.166899610096
89,-145.166869582487
316,-145.166517807706
392,-145.166002167200
981,-145.165729669889
467,-145.165668706087
90,-145.165593409336
687,-145.164940337483
621,-145.164838473477
53,-145.164778323159
389,-145.164334419229
931,-145.164238475586
998,-145.164038146436
920,-145.163965833089
682,-145.163604708606
917,-145.162221794038
474,-145.162066323735
634,-145.161954225853
383,-145.161700257896
439,-145.161379993263
476,-145.161244009810
481,-145.161073539863
490,-145.160959916067
237,-145.160586567069
616,-145.160269120304
477,-145.159674833261
406,-145.159455749702
371,-145.159119203843
527,-145.159090012243
967,-145.158810503492
640,-145.158497108047
177,-145.158398505748
670,-145.157901913237
583,-145.157832782421
713,-145.157559366528
886,-145.157361876411
749,-145.157317361960
737,-145.157299235789
119,-145.157107120448
332,-145.156962270546
137,-145.156907927933
535,-145.156706925091
404,-145.156682434366
327,-145.156562378477
858,-145.156374603579
947,-145.155776705402
31,-145.155583544270
92,-145.155458620468
944,-145.155333009918
66,-145.155232718170
735,-145.155178418952
805,-145.155108133524
941,-145.154588369288
537,-145.154441126943
562,-145.154412786074
448,-145.154396442090
36,-145.154274576268
475,-145.153419936089
59,-145.153393816751
8,-145.153227509941
43,-145.153192592309
610,-145.153090281606
11,-145.152246737748
662,-145.151981855066
903,-145.151928991753
360,-145.151635567521
603,-145.151288055616
796,-145.151193338196
521,-145.151179759064
574,-145.151083514693
815,-145.150827123435
773,-145.150672895780
27,-145.150228054167
379,-145.150033189177
461,-145.149943661892
170,-145.149640120124
310,-145.149580275519
143,-145.149441830228
208,-145.149420859488
242,-145.148914055965
227,-145.148910954229
985,-145.148861658190
638,-145.148855760663
380,-145.148789671890
838,-145.148210840876
67,-145.148202781556
323,-145.148012528143
834,-145.147550274825
908,-145.147207646932
632,-145.147070993582
103,-145.147039409958
33,-145.146935574007
135,-145.146854765870
721,-145.146685543842
874,-145.146461962679
922,-145.145965707767
504,-145.145901204099
700,-145.145770208037
993,-145.145667322471
308,-145.145648170140
341,-145.145329998153
50,-145.145115500976
391,-145.145051424304
233,-145.144960307452
830,-145.144783713549
826,-145.144777997182
816,-145.144571347592
196,-145.144543746692
547,-145.144269713511
62,-145.144042747984
38,-145.143845741465
958,-145.143628117884
458,-145.143482310592
300,-145.143203432129
965,-145.143023884857
565,-145.142863478096
552,-145.142788922409
110,-145.142570868362
790,-145.142545535290
116,-145.142486350626
631,-145.142483297949
684,-145.142398695692
647,-145.142236634005
918,-145.142165978491
200,-145.141752453592
762,-145.141316989884
763,-145.141197445586
644,-145.141005255676
503,-145.140914584740
513,-145.140655001265
655,-145.140649727912
672,-145.140637614432
776,-145.140500466021
301,-145.140291375377
724,-145.140208780213
681,-145.139913876741
5,-145.139729933645
416,-145.139550848165
343,-145.139372459612
894,-145.139366740893
633,-145.139199043197
173,-145.139092707097
586,-145.138659509289
249,-145.138559794522
79,-145.138531496520
912,-145.138357876715
105,-145.137695663761
138,-145.137674851458
520,-145.137660546563
394,-145.137411163178
240,-145.137382781737
828,-145.137114201376
198,-145.137105661313
840,-145.136891315466
13,-145.136687658211
973,-145.136669621453
732,-145.136549961197
340,-145.136381017054
859,-145.136215179923
386,-145.136176086226
876,-145.136150010364
590,-145.135710029475
442,-145.135694838181
923,-145.135442592691
832,-145.135081837945
696,-145.134988878454
29,-145.134966553464
269,-145.134911522738
417,-145.134894241630
254,-145.134885689346
408,-145.134828437165
798,-145.134722622559
361,-145.134713068521
625,-145.134484271300
407,-145.134287651580
465,-145.133670618266
835,-145.133636124822
49,-145.133425868729
365,-145.133360082363
919,-145.133283274236
940,-145.133269291044
797,-145.133094138236
130,-145.132994699001
772,-145.132770651731
169,-145.132749218263
139,-145.132498589675
1,-145.132470855050
451,-145.132152570868
982,-145.132152452737
232,-145.132140675848
904,-145.132058139174
84,-145.131974496278
212,-145.131961953809
546,-145.131748322436
25,-145.131737880202
241,-145.131100642853
756,-145.130995329954
812,-145.130836490377
688,-145.130667629316
758,-145.130544911988
788,-145.130542616880
976,-145.130495181312
435,-145.130342659122
588,-145.130275264938
806,-145.130234443635
738,-145.130176321142
706,-145.130122356134
178,-145.129991195747
136,-145.129762565611
994,-145.129544259449
193,-145.129535044680
777,-145.129515609096
934,-145.129338626434
855,-145.129296423420
166,-145.129093601138
539,-145.129030577947
950,-145.128976059080
74,-145.128917009505
157,-145.128884296312
839,-145.128742921737
47,-145.128724408586
430,-145.128659274400
479,-145.128504019526
683,-145.127975616730
415,-145.127905304628
791,-145.127874930466
337,-145.127435129206
803,-145.127356891934
499,-145.127301510234
184,-145.126805363562
57,-145.126776621709
449,-145.126748280145
85,-145.126586365787
152,-145.126513361174
824,-145.126432707355
22,-145.126267768183
677,-145.126262816220
793,-145.126230785053
344,-145.126190826774
462,-145.126083908216
155,-145.126038778996
558,-145.126021747315
891,-145.125994385162
856,-145.125977072758
549,-145.125875252492
869,-145.125873954497
642,-145.125827674246
422,-145.125778424488
545,-145.125509640111
42,-145.125330554822
134,-145.125168868399
55,-145.125161099527
819,-145.124982951799
905,-145.124970042722
433,-145.124881628036
244,-145.124843999234
78,-145.124631274713
376,-145.124615730094
675,-145.124591809216
712,-145.124432931888
197,-145.124304421640
930,-145.123884200366
292,-145.123755871132
516,-145.123627796450
613,-145.123449157122
913,-145.123372937260
715,-145.123234817843
447,-145.123201305212
112,-145.123140703073
764,-145.123126434759
302,-145.122952963516
648,-145.122919697403
287,-145.122826762388
370,-145.122701100874
804,-145.122664564157
587,-145.122633005977
64,-145.122597615443
374,-145.122564453066
0,-145.122563765287
384,-145.122560769745
989,-145.122450034310
519,-145.122344586615
70,-145.122062947910
524,-145.121891086620
199,-145.121595782425
431,-145.121494564280
190,-145.121492086187
229,-145.121355564449
707,-145.121297019352
464,-145.120921739942
216,-145.120890290639
741,-145.120837709943
702,-145.120705030680
149,-145.120582177199
65,-145.120515727995
414,-145.120320601939
866,-145.120253783500
757,-145.120227083744
195,-145.120102248487
668,-145.120076262973
441,-145.120056676912
333,-145.119938733810
484,-145.119896122328
661,-145.118902818429
326,-145.118457278665
432,-145.117891898389
769,-145.117784552338
988,-145.117599738928
52,-145.117270673372
787,-145.117063228047
897,-145.117019104829
601,-145.117007065372
4,-145.116808896634
68,-145.116544794279
679,-145.116541613163
401,-145.116261583144
307,-145.116242685669
807,-145.116096774139
979,-145.115962347492
810,-145.115952181348
291,-145.115946070446
113,-145.115564835689
409,-145.115444145891
46,-145.115183743528
669,-145.114877977288
792,-145.114656220255
759,-145.114586649101
187,-145.114483645579
294,-145.114391928030
820,-145.114331185375
860,-145.114085567377
532,-145.113525821431
290,-145.113390547526
509,-145.113177083958
95,-145.113162618712
563,-145.113113757657
966,-145.113054160018
678,-145.112992555551
133,-145.112848084608
911,-145.112822883276
298,-145.112804694824
420,-145.112744083350
627,-145.112722678828
